1.3.6.1.2.1.47.1.1.1.1.6 在其父实体中的所有子实体中的相对编号
OID:1.3.6.1.2.1.47.1.1.1.1.6.18415616 Type:Integer Value:25
OID:1.3.6.1.2.1.47.1.1.1.1.6.18415617 Type:Integer Value:1
OID:1.3.6.1.2.1.47.1.1.1.1.6.18415618 Type:Integer Value:1
OID:1.3.6.1.2.1.47.1.1.1.1.6.18415619 Type:Integer Value:2
OID:1.3.6.1.2.1.47.1.1.1.1.6.18415620 Type:Integer Value:3
OID:1.3.6.1.2.1.47.1.1.1.1.6.18415621 Type:Integer Value:4
OID:1.3.6.1.2.1.47.1.1.1.1.6.18481152 Type:Integer Value:26
OID:1.3.6.1.2.1.47.1.1.1.1.6.18481153 Type:Integer Value:1
OID:1.3.6.1.2.1.47.1.1.1.1.6.18481154 Type:Integer Value:1
OID:1.3.6.1.2.1.47.1.1.1.1.6.18481155 Type:Integer Value:2
OID:1.3.6.1.2.1.47.1.1.1.1.6.18481156 Type:Integer Value:3
OID:1.3.6.1.2.1.47.1.1.1.1.6.18481157 Type:Integer Value:4
OID:1.3.6.1.2.1.47.1.1.1.1.6.18546688 Type:Integer Value:27
OID:1.3.6.1.2.1.47.1.1.1.1.6.18546689 Type:Integer Value:1
OID:1.3.6.1.2.1.47.1.1.1.1.6.18612224 Type:Integer Value:28
OID:1.3.6.1.2.1.47.1.1.1.1.6.18612225 Type:Integer Value:1
OID:1.3.6.1.2.1.47.1.1.1.1.6.18677760 Type:Integer Value:29
OID:1.3.6.1.2.1.47.1.1.1.1.6.18677761 Type:Integer Value:1
OID:1.3.6.1.2.1.47.1.1.1.1.6.18743296 Type:Integer Value:30
OID:1.3.6.1.2.1.47.1.1.1.1.6.18743297 Type:Integer Value:1
OID:1.3.6.1.2.1.47.1.1.1.1.6.18808832 Type:Integer Value:31
